"id";"name";"firstname";"zip";"city";"birthdate";"street";"housenr";"state";"newfld";"lkfld"
"59";"ayq-firstname";"";"";"";"";"";"";"";"ayq-firstname";"ljc-city"
"60";"edm-firstname";"";"";"";"";"";"";"";"edm-firstname";"kvz-city"
"61";"gqb-firstname";"";"";"";"";"";"";"";"aa";"cyr-city"
"62";"yzt-firstname";"";"";"";"";"";"";"";"yzt-firstname";"lwx-city"
"63";"ytd-firstname";"";"";"";"";"";"";"";"ytd-firstname";"zwh-city"
"64";"zbg-firstname";"";"";"";"";"";"";"";"zbg-firstname";"oee-city"
"65";"phc-firstname";"";"";"";"";"";"";"";"phc-firstname";"vgg-city"
"66";"xtn-firstname";"";"";"";"";"";"";"";"aa";"nde-city"
"67";"mjw-firstname";"";"";"";"";"";"";"";"mjw-firstname";"nwb-city"
"68";"ioq-firstname";"";"";"";"";"";"";"";"ioq-firstname";"zqy-city"
"69";"btx-firstname";"";"";"";"";"";"";"";"btx-firstname";"dal-city"
"70";"pvw-firstname";"";"";"";"";"";"";"";"pvw-firstname";"lai-city"
"71";"rsf-firstname";"";"";"";"";"";"";"";"rsf-firstname";"kjl-city"
"72";"gkq-firstname";"";"";"";"";"";"";"";"gkq-firstname";"rmd-city"
"73";"ryo-firstname";"";"";"";"";"";"";"";"ryo-firstname";"bmz-city"
"74";"kld-firstname";"";"";"";"";"";"";"";"aa";"qvq-city"
"75";"fez-firstname";"";"";"";"";"";"";"";"fez-firstname";"ldb-city"
"76";"ixe-firstname";"";"";"";"";"";"";"";"ixe-firstname";"qvr-city"
"77";"gmb-firstname";"";"";"";"";"";"";"";"gmb-firstname";"ftt-city"
"78";"xlc-firstname";"";"";"";"";"";"";"";"xlc-firstname";"byk-city"
"79";"ihs-firstname";"";"";"";"";"";"";"";"aa";"adc-city"
"80";"tag-firstname";"";"";"";"";"";"";"";"tag-firstname";"tnr-city"
"81";"hcd-firstname";"";"";"";"";"";"";"";"hcd-firstname";"xcl-city"
"82";"tks-firstname";"";"";"";"";"";"";"";"tks-firstname";"odl-city"
"83";"vur-firstname";"";"";"";"";"";"";"";"vur-firstname";"hgt-city"
"84";"ssz-firstname";"";"";"";"";"";"";"";"ssz-firstname";"wwp-city"
"85";"hbu-firstname";"";"";"";"";"";"";"";"hbu-firstname";"yok-city"
"86";"fwy-firstname";"";"";"";"";"";"";"";"fwy-firstname";"wbi-city"
"87";"rzk-firstname";"";"";"";"";"";"";"";"rzk-firstname";"qum-city"
"88";"axt-firstname";"";"";"";"";"";"";"";"axt-firstname";"fck-city"
"89";"mcv-firstname";"";"";"";"";"";"";"";"mcv-firstname";"iwq-city"
"90";"tuy-firstname";"";"";"";"";"";"";"";"tuy-firstname";"ulk-city"
"91";"hoq-firstname";"";"";"";"";"";"";"";"hoq-firstname";"tuw-city"
"92";"ggc-firstname";"";"";"";"";"";"";"";"ggc-firstname";"fsj-city"
"93";"sdt-firstname";"";"";"";"";"";"";"";"sdt-firstname";"ewj-city"
"94";"uyu-firstname";"";"";"";"";"";"";"";"uyu-firstname";"wea-city"
"95";"vjd-firstname";"";"";"";"";"";"";"";"vjd-firstname";"ads-city"
"96";"kzs-firstname";"";"";"";"";"";"";"";"kzs-firstname";"zhc-city"
"97";"gcp-firstname";"";"";"";"";"";"";"";"gcp-firstname";"ahg-city"
"98";"sst-firstname";"";"";"";"";"";"";"";"aa";"ydd-city"
"99";"fxc-firstname";"";"";"";"";"";"";"";"fxc-firstname";"agr-city"
"100";"icx-firstname";"";"";"";"";"";"";"";"icx-firstname";"boc-city"
